city,population,dining_access_rate,hotel_access_rate,attraction_access_rate,healthcare_density,essential_density,transit_density,bench_density,toilet_density,parking_density,tag_coverage_pct,pct_paved_streets,pct_good_smoothness,mobility_score,mobility_cluster,pca_x,pca_y,top_factors
"Bangkok, Thailand",5676648,83.33,90.91,50.0,1.97,3.14,7.46,0.82,0.31,7.46,2.4,23.36,0.0,58.8,1,-0.8215209298729776,0.41958395071165877,"[('parking_density', 7.71), ('bench_density', -7.17), ('healthcare_density', -1.98)]"
"London, United Kingdom",8799728,70.08,70.59,92.04,7.46,4.43,0.0,2.49,0.41,7.46,19.91,76.47,6.87,74.1,2,0.4466995867613108,0.11296109203521791,"[('parking_density', 8.11), ('bench_density', 2.82), ('healthcare_density', 2.64)]"
"Singapore, Singapore",5866139,77.78,87.18,93.06,2.96,3.16,7.46,1.59,0.17,7.46,13.46,58.37,13.5,80.0,1,-0.3939674786566928,0.160553960875374,"[('parking_density', 8.1), ('bench_density', 1.02), ('healthcare_density', -0.51)]"
"Paris, France",2103778,62.03,69.28,78.12,9.08,6.21,0.0,3.03,0.61,3.03,23.05,61.0,27.47,77.2,2,0.7936579073968681,-0.23042593505967202,"[('parking_density', -11.94), ('bench_density', 3.06), ('healthcare_density', 2.0)]"
"Dubai, United Arab Emirates",3944751,100.0,100.0,94.12,1.65,3.53,2.47,0.36,0.09,7.46,16.24,57.35,0.0,74.0,1,-1.0158172332775093,0.6204731949954527,"[('bench_density', -8.73), ('parking_density', 7.73), ('healthcare_density', -1.98)]"
"New York City, United States",8804190,80.0,95.92,97.96,7.46,4.5,7.46,2.49,0.51,7.46,15.8,81.53,2.2,90.9,2,0.45448408995898726,0.1188792993989025,"[('parking_density', 8.16), ('bench_density', 2.83), ('healthcare_density', 2.64)]"
"Kuala Lumpur, Malaysia",9000280,85.71,93.75,0.0,4.24,4.06,7.46,0.98,0.12,7.46,2.05,26.88,1.58,49.4,1,-0.5059082311493641,0.5356781509562104,"[('parking_density', 7.22), ('bench_density', -7.17), ('essential_density', 0.28)]"
"Istanbul, Turkey",15655924,71.43,68.97,66.67,7.46,5.0,7.46,2.49,0.11,6.02,4.51,28.99,6.06,56.7,2,0.44335563428848695,0.046566286500846335,"[('parking_density', -3.89), ('bench_density', 3.0), ('healthcare_density', 2.22)]"
"Delhi, India",26495000,26.26,40.0,100.0,1.95,1.33,6.65,2.49,0.23,1.53,11.48,30.46,12.64,53.2,1,-0.5062912262193228,-0.8678710142921198,"[('parking_density', -17.03), ('bench_density', 2.72), ('healthcare_density', -1.48)]"
"Antalya, Turkey",2426356,78.95,54.55,100.0,2.41,3.22,3.79,2.62,0.03,2.42,4.84,43.06,4.17,60.0,2,-0.16533418763531596,-0.6681556554580401,"[('parking_density', -13.4), ('bench_density', 2.86), ('healthcare_density', -1.35)]"
"Los Angeles, United States",3898747,96.15,100.0,100.0,0.98,1.3,7.46,0.92,0.11,7.46,4.16,17.91,0.45,67.3,1,-1.0385958660958206,0.1800435480210218,"[('parking_density', 7.81), ('bench_density', -6.76), ('healthcare_density', -1.72)]"
"Shenzhen, China",17494398,80.0,100.0,66.67,0.37,0.54,7.46,1.01,0.17,4.27,1.63,11.95,3.1,58.4,1,-1.2651467460054855,-0.2010395438489797,"[('parking_density', -7.52), ('bench_density', -3.45), ('healthcare_density', -2.14)]"
"Mumbai, India",15414288,36.36,66.67,0.0,2.28,0.91,4.71,1.97,0.11,1.87,2.33,19.64,0.0,28.9,1,-0.76404806164947,-0.655514205253826,"[('parking_density', -17.03), ('bench_density', 2.07), ('healthcare_density', -1.85)]"
"Phuket, Thailand",77610,40.0,33.33,0.0,0.61,1.31,0.6,0.27,0.1,1.5,4.29,7.69,0.0,14.9,1,-1.6445414668950054,-0.052414555112551935,"[('parking_density', -20.2), ('bench_density', -5.49), ('essential_density', -1.37)]"
"Rome, Italy",2748109,79.49,70.0,84.85,3.04,4.05,7.46,2.49,0.07,7.46,8.52,24.87,3.87,58.8,2,0.136960873501729,-0.11719906132090462,"[('parking_density', 7.53), ('bench_density', 2.68), ('healthcare_density', -0.68)]"
"Tokyo, Japan",14264798,55.17,93.94,89.29,7.46,5.18,7.46,2.49,1.6,7.46,14.8,33.33,3.07,86.4,2,0.5301049781649877,0.17637045664612444,"[('parking_density', 8.32), ('bench_density', 2.86), ('healthcare_density', 2.65)]"
"Pattaya, Thailand",119532,50.0,88.24,0.0,3.34,5.39,0.39,0.2,0.32,4.52,3.39,45.45,0.0,42.8,1,-0.9188758513643367,0.6828931137660994,"[('parking_density', -8.97), ('bench_density', -6.22), ('essential_density', 1.19)]"
"Taipei, Taiwan",2442991,66.1,80.74,72.55,7.82,4.6,0.0,2.61,0.89,7.46,16.07,36.69,1.3,64.1,2,0.544338867036037,0.09591883100418248,"[('parking_density', 8.03), ('bench_density', 2.7), ('healthcare_density', 2.67)]"
"Guangzhou, China",18676605,66.67,81.82,50.0,0.99,1.67,7.46,1.08,0.07,2.66,3.8,8.57,0.0,45.3,1,-1.143353069988386,-0.23357208827653625,"[('parking_density', -11.35), ('bench_density', -1.12), ('essential_density', -1.06)]"
"Prague, Czech Republic",1397880,48.33,67.01,62.5,4.56,6.34,13.67,4.36,0.29,13.67,13.82,39.32,19.54,70.0,4,1.6588366178541614,-0.1022360364940794,"[('parking_density', 15.78), ('bench_density', 3.71), ('essential_density', 0.64)]"
"Medina, Saudi Arabia",1411599,0.0,100.0,100.0,0.4,0.8,0.17,0.29,0.34,1.34,0.84,10.73,0.38,42.9,1,-1.7118887371228515,-0.12559755665235103,"[('parking_density', -22.77), ('bench_density', -5.36), ('healthcare_density', -2.25)]"
"Seoul, South Korea",9668465,100.0,100.0,100.0,4.38,4.76,7.46,2.49,0.33,7.46,1.63,13.96,0.45,70.2,2,0.2970091935096163,0.0028655461255437664,"[('parking_density', 7.57), ('bench_density', 2.63), ('essential_density', 0.56)]"
"Amsterdam, Netherlands",921468,66.14,54.25,88.43,4.97,5.17,19.1,2.34,0.13,19.1,30.7,71.2,10.53,85.0,0,0.8465404379722066,1.0496302923203507,"[('parking_density', 16.81), ('bench_density', 3.24), ('essential_density', 1.1)]"
"Agra, India",1585705,100.0,100.0,100.0,0.31,0.35,0.31,1.42,0.0,0.1,1.39,0.0,0.0,52.7,1,-1.288578398680383,-0.7140566254224159,"[('parking_density', -26.24), ('healthcare_density', -2.4), ('essential_density', -1.46)]"
"Miami, United States",442241,100.0,100.0,100.0,0.64,0.6,12.92,0.83,0.01,9.47,2.27,29.41,0.0,75.6,1,-1.086580730338742,0.3012293473470472,"[('parking_density', 10.11), ('bench_density', -7.69), ('healthcare_density', -1.88)]"
"Osaka, Japan",2751862,53.85,94.87,87.5,7.46,5.02,7.46,2.49,1.04,7.46,4.48,27.27,0.17,73.8,2,0.5123118279988699,0.16284312552913105,"[('parking_density', 8.28), ('bench_density', 2.85), ('healthcare_density', 2.63)]"
"Las Vegas, United States",641903,100.0,100.0,0.0,0.78,1.12,9.37,0.79,0.14,19.1,5.0,72.22,2.78,70.9,0,-0.5929929778364794,1.1336071993917118,"[('parking_density', 13.36), ('bench_density', -9.73), ('healthcare_density', -2.04)]"
"Shanghai, China",24870895,66.67,76.92,57.14,1.46,3.43,7.46,1.75,0.16,2.47,9.07,17.21,0.0,49.9,1,-0.6100292324053226,-0.34428895281008665,"[('parking_density', -13.22), ('healthcare_density', -1.35), ('bench_density', 1.34)]"
"Ho Chi Minh City, Vietnam",14002598,31.67,57.14,0.0,1.9,3.58,7.46,2.23,0.06,1.36,6.03,14.19,0.0,26.5,1,-0.39036704267138683,-0.590397717732135,"[('parking_density', -27.05), ('bench_density', 1.88), ('healthcare_density', -1.75)]"
"Barcelona, Spain",1731649,73.44,92.44,85.71,9.52,7.44,11.03,3.68,0.1,11.03,12.67,64.07,8.6,81.1,4,1.6362736010373788,0.2723353064460923,"[('parking_density', 15.01), ('bench_density', 3.6), ('healthcare_density', 2.86)]"
"Cairo, Egypt",9801536,75.0,52.38,0.0,1.15,1.43,0.8,0.57,0.02,0.82,4.78,1.91,0.0,22.2,1,-1.4876595154883319,-0.19104606525372475,"[('parking_density', -23.94), ('bench_density', -5.17), ('essential_density', -1.43)]"
