city,population,dining_access_rate,hotel_access_rate,attraction_access_rate,healthcare_density,essential_density,transit_density,bench_density,toilet_density,parking_density,tag_coverage_pct,pct_paved_streets,pct_good_smoothness
"Bangkok, Thailand",5676648,83.33,90.91,50.0,1.97,3.14,7.46,0.82,0.31,7.46,2.4,23.36,0.0
"London, United Kingdom",8799728,70.08,70.59,92.04,7.46,4.43,0.0,2.49,0.41,7.46,19.91,76.47,6.87
"Singapore, Singapore",5866139,77.78,87.18,93.06,2.96,3.16,7.46,1.59,0.17,7.46,13.46,58.37,13.5
"Paris, France",2103778,62.03,69.28,78.12,9.08,6.21,0.0,3.03,0.61,3.03,23.05,61.0,27.47
"Dubai, United Arab Emirates",3944751,100.0,100.0,94.12,1.65,3.53,2.47,0.36,0.09,7.46,16.24,57.35,0.0
"New York City, United States",8804190,80.0,95.92,97.96,7.46,4.5,7.46,2.49,0.51,7.46,15.8,81.53,2.2
"Kuala Lumpur, Malaysia",9000280,85.71,93.75,0.0,4.24,4.06,7.46,0.98,0.12,7.46,2.05,26.88,1.58
"Istanbul, Turkey",15655924,71.43,68.97,66.67,7.46,5.0,7.46,2.49,0.11,6.02,4.51,28.99,6.06
"Delhi, India",26495000,26.26,40.0,100.0,1.95,1.33,6.65,2.49,0.23,1.53,11.48,30.46,12.64
"Antalya, Turkey",2426356,78.95,54.55,100.0,2.41,3.22,3.79,2.62,0.03,2.42,4.84,43.06,4.17
"Los Angeles, United States",3898747,96.15,100.0,100.0,0.98,1.3,7.46,0.92,0.11,7.46,4.16,17.91,0.45
"Shenzhen, China",17494398,80.0,100.0,66.67,0.37,0.54,7.46,1.01,0.17,4.27,1.63,11.95,3.1
"Mumbai, India",15414288,36.36,66.67,0.0,2.28,0.91,4.71,1.97,0.11,1.87,2.33,19.64,0.0
"Phuket, Thailand",77610,40.0,33.33,0.0,0.61,1.31,0.6,0.27,0.1,1.5,4.29,7.69,0.0
"Rome, Italy",2748109,79.49,70.0,84.85,3.04,4.05,7.46,2.49,0.07,7.46,8.52,24.87,3.87
"Tokyo, Japan",14264798,55.17,93.94,89.29,7.46,5.18,7.46,2.49,1.6,7.46,14.8,33.33,3.07
"Pattaya, Thailand",119532,50.0,88.24,0.0,3.34,5.39,0.39,0.2,0.32,4.52,3.39,45.45,0.0
"Taipei, Taiwan",2442991,66.1,80.74,72.55,7.82,4.6,0.0,2.61,0.89,,16.07,36.69,1.3
"Guangzhou, China",18676605,66.67,81.82,50.0,0.99,1.67,7.46,1.08,0.07,2.66,3.8,8.57,0.0
"Prague, Czech Republic",1397880,48.33,67.01,62.5,4.56,6.34,13.67,4.36,0.29,13.67,13.82,39.32,19.54
"Medina, Saudi Arabia",1411599,0.0,100.0,100.0,0.4,0.8,0.17,0.29,0.34,1.34,0.84,10.73,0.38
"Seoul, South Korea",9668465,100.0,100.0,100.0,4.38,4.76,7.46,2.49,0.33,7.46,1.63,13.96,0.45
"Amsterdam, Netherlands",921468,66.14,54.25,88.43,4.97,5.17,19.1,2.34,0.13,19.1,30.7,71.2,10.53
"Agra, India",1585705,100.0,100.0,100.0,0.31,0.35,0.31,1.42,0.0,0.1,1.39,0.0,0.0
"Miami, United States",442241,100.0,100.0,100.0,0.64,0.6,12.92,0.83,0.01,9.47,2.27,29.41,0.0
